ID,_Year,Sport Code,Division (Member Org Sport),Org Id,School,School Conference,Opponent,Opponent Name,Opp Conference,Result Field,Score For,Score Against,Loc Ind A,Sch City,Sch State,Opp City,Opp State
4174137,2007,MSO,1,514,Oakland,Summit League,5,Akron,MAC,L,0,1,A,Rochester,MI,Akron,OH
4174208,2007,MSO,1,189,Drake,MVC,527,Oral Roberts,Summit League,W,3,0,A,Des Moines,IA,Tulsa,OK
4174210,2007,MSO,1,189,Drake,MVC,719,Tulsa,C-USA,L,1,2,A,Des Moines,IA,Tulsa,OK
4174212,2007,MSO,1,797,Milwaukee,Horizon,184,Detroit,Horizon,L,1,2,A,Milwaukee,WI,Detroit,MI
4174213,2007,MSO,1,810,Wright St.,Horizon,71,Bowling Green,MAC,W,4,1,A,Dayton,OH,Bowling Green,OH
4174214,2007,MSO,1,189,Drake,MVC,503,Northern Ill.,MAC,L,1,2,A,Des Moines,IA,De Kalb,IL
4174218,2007,MSO,1,189,Drake,MVC,2707,UMKC,Summit League,T,0,0,A,Des Moines,IA,Kansas City,MO
4174219,2007,MSO,1,189,Drake,MVC,771,Western Ill.,Summit League,L,0,5,A,Des Moines,IA,Macomb,IL
4174528,2007,MSO,1,450,Mt. St. Mary's,NEC,726,Navy,Patriot,L,1,2,A,Emmitsburg,MD,Annapolis,MD
4174532,2007,MSO,1,590,Sacred Heart,NEC,164,Connecticut,AAC,L,0,2,A,Fairfield,CT,Storrs,CT
4174541,2007,MSO,1,514,Oakland,Summit League,418,Michigan,Big Ten,L,0,3,A,Rochester,MI,Ann Arbor,MI
4174546,2007,MSO,1,735,Valparaiso,Summit League,125,Centenary (LA),Summit League,L,2,4,A,Valparaiso,IN,Shreveport,LA
4174627,2007,MSO,1,629,San Francisco,WCC,107,California,Pac-13,W,1,0,A,San Francisco,CA,Berkeley,CA
4174629,2007,MSO,1,629,San Francisco,WCC,630,San Jose St.,MPSF,W,2,0,A,San Francisco,CA,San Jose,CA
4174630,2007,MSO,1,629,San Francisco,WCC,539,Penn St.,Big Ten,W,2,0,A,San Francisco,CA,University Park,PA
4174632,2007,MSO,1,629,San Francisco,WCC,101,Cal St. Northridge,Big West,W,2,1,A,San Francisco,CA,Northridge,CA
4174634,2007,MSO,1,629,San Francisco,WCC,110,UCLA,Pac-13,L,0,2,A,San Francisco,CA,Los Angeles,CA
4174635,2007,MSO,1,629,San Francisco,WCC,610,St. Mary's (CA),WCC,L,0,1,A,San Francisco,CA,Moraga,CA
4174925,2007,MSO,1,317,James Madison,CAA,191,Drexel,CAA,W,3,0,A,Harrisonburg,VA,Philadelphia,PA
4174926,2007,MSO,1,317,James Madison,CAA,180,Delaware,CAA,L,2,3,A,Harrisonburg,VA,Newark,DE
4174935,2007,MSO,1,740,VCU,CAA,180,Delaware,CAA,W,3,2,A,Richmond,VA,Newark,DE
4174936,2007,MSO,1,740,VCU,CAA,191,Drexel,CAA,L,0,1,A,Richmond,VA,Philadelphia,PA
4174937,2007,MSO,1,786,William & Mary,CAA,283,Hofstra,CAA,L,0,3,A,Williamsburg,VA,Hempstead,NY
4174938,2007,MSO,1,786,William & Mary,CAA,500,Northeastern,CAA,T,1,1,A,Williamsburg,VA,Boston,MA
4175775,2007,MSO,1,503,Northern Ill.,MAC,416,Michigan St.,Big Ten,W,1,0,A,De Kalb,IL,East Lansing,MI
4175778,2007,MSO,1,503,Northern Ill.,MAC,756,Washington,Pac-13,L,0,5,A,De Kalb,IL,Seattle,WA
4175780,2007,MSO,1,503,Northern Ill.,MAC,513,Notre Dame,AAC,T,0,0,A,De Kalb,IL,Notre Dame,IN
4175783,2007,MSO,1,503,Northern Ill.,MAC,797,Milwaukee,Horizon,W,1,0,A,De Kalb,IL,Milwaukee,WI
4175784,2007,MSO,1,503,Northern Ill.,MAC,774,Western Mich.,MAC,W,4,1,A,De Kalb,IL,Kalamazoo,MI
4175785,2007,MSO,1,503,Northern Ill.,MAC,771,Western Ill.,Summit League,W,1,0,A,De Kalb,IL,Macomb,IL
