ID,_Year,Sport Code,Division (Member Org Sport),Org Id,School,School Conference,Opponent,Opponent Name,Opp Conference,Result Field,Score For,Score Against,Loc Ind A,Sch City,Sch State,Opp City,Opp State
4739266,2009,MVB,1,277,Hawaii,MPSF,112,UC San Diego,MPSF,L,1,3,A,Honolulu,HI,La Jolla,CA
4739267,2009,MVB,1,277,Hawaii,MPSF,112,UC San Diego,MPSF,L,2,3,A,Honolulu,HI,La Jolla,CA
4739276,2009,MVB,1,110,UCLA,MPSF,101,Cal St. Northridge,MPSF,L,1,3,A,Los Angeles,CA,Northridge,CA
4739277,2009,MVB,1,110,UCLA,MPSF,104,UC Santa Barbara,MPSF,W,3,1,A,Los Angeles,CA,Santa Barbara,CA
4739289,2009,MVB,1,248,George Mason,EIVA,104,UC Santa Barbara,MPSF,L,2,3,A,Fairfax,VA,Santa Barbara,CA
4739291,2009,MVB,1,248,George Mason,EIVA,541,Pepperdine,MPSF,L,0,3,A,Fairfax,VA,Malibu,CA
4739293,2009,MVB,1,275,Harvard,EIVA,554,Princeton,EIVA,L,0,3,A,Boston,MA,Princeton,NJ
4739294,2009,MVB,1,275,Harvard,EIVA,197,East Stroudsburg,EIVA,W,3,0,A,Boston,MA,East Stroudsburg,PA
4739307,2009,MVB,1,539,Penn St.,EIVA,99,Long Beach St.,MPSF,L,2,3,A,University Park,PA,Long Beach,CA
4739310,2009,MVB,1,589,Rutgers-Newark,EIVA,479,New York U.,EIVA,W,3,0,A,Newark,NJ,New York,NY
4743210,2009,MVB,1,77,BYU,MPSF,101,Cal St. Northridge,MPSF,L,0,3,A,Provo,UT,Northridge,CA
4743211,2009,MVB,1,77,BYU,MPSF,101,Cal St. Northridge,MPSF,L,0,3,A,Provo,UT,Northridge,CA
4743218,2009,MVB,1,541,Pepperdine,MPSF,99,Long Beach St.,MPSF,W,3,2,A,Malibu,CA,Long Beach,CA
4743219,2009,MVB,1,541,Pepperdine,MPSF,112,UC San Diego,MPSF,W,3,2,A,Malibu,CA,La Jolla,CA
4743225,2009,MVB,1,104,UC Santa Barbara,MPSF,277,Hawaii,MPSF,W,3,1,A,Santa Barbara,CA,Honolulu,HI
4743226,2009,MVB,1,104,UC Santa Barbara,MPSF,277,Hawaii,MPSF,L,0,3,A,Santa Barbara,CA,Honolulu,HI
4743749,2009,MVB,1,589,Rutgers-Newark,EIVA,275,Harvard,EIVA,L,2,3,A,Newark,NJ,Boston,MA
4747242,2009,MVB,1,534,Pacific,MPSF,101,Cal St. Northridge,MPSF,L,0,3,A,Stockton,CA,Northridge,CA
4747243,2009,MVB,1,534,Pacific,MPSF,104,UC Santa Barbara,MPSF,L,0,3,A,Stockton,CA,Santa Barbara,CA
4747246,2009,MVB,1,674,Stanford,MPSF,101,Cal St. Northridge,MPSF,L,1,3,A,Stanford,CA,Northridge,CA
4747247,2009,MVB,1,674,Stanford,MPSF,104,UC Santa Barbara,MPSF,W,3,2,A,Stanford,CA,Santa Barbara,CA
4747252,2009,MVB,1,110,UCLA,MPSF,541,Pepperdine,MPSF,L,0,3,A,Los Angeles,CA,Malibu,CA
4747253,2009,MVB,1,110,UCLA,MPSF,657,Southern California,MPSF,L,1,3,A,Los Angeles,CA,Los Angeles,CA
4752892,2009,MVB,1,308,Fort Wayne,MIVA,47,Ball St.,MIVA,L,0,3,A,Fort Wayne,IN,Muncie,IN
4752895,2009,MVB,1,371,Loyola Chicago,MIVA,518,Ohio St.,MIVA,L,0,3,A,Chicago,IL,Columbus,OH
4752896,2009,MVB,1,371,Loyola Chicago,MIVA,47,Ball St.,MIVA,L,2,3,A,Chicago,IL,Muncie,IN
4753700,2009,MVB,1,47,Ball St.,MIVA,518,Ohio St.,MIVA,L,2,3,A,Muncie,IN,Columbus,OH
4753701,2009,MVB,1,47,Ball St.,MIVA,354,Lewis,MIVA,L,2,3,A,Muncie,IN,Romeoville,IL
4753702,2009,MVB,1,47,Ball St.,MIVA,371,Loyola Chicago,MIVA,L,2,3,A,Muncie,IN,Chicago,IL
4753703,2009,MVB,1,308,Fort Wayne,MIVA,99,Long Beach St.,MPSF,L,0,3,A,Fort Wayne,IN,Long Beach,CA
4753964,2009,MVB,1,275,Harvard,EIVA,673,Springfield,EIVA,L,2,3,A,Boston,MA,Springfield,MA
4753984,2009,MVB,1,539,Penn St.,EIVA,277,Hawaii,MPSF,W,3,1,A,University Park,PA,Honolulu,HI
4753987,2009,MVB,1,539,Penn St.,EIVA,600,Saint Francis (PA),EIVA,W,3,0,A,University Park,PA,Loretto,PA
4753989,2009,MVB,1,554,Princeton,EIVA,109,UC Irvine,MPSF,L,0,3,A,Princeton,NJ,Irvine,CA
4753991,2009,MVB,1,554,Princeton,EIVA,112,UC San Diego,MPSF,L,0,3,A,Princeton,NJ,La Jolla,CA
4753998,2009,MVB,1,590,Sacred Heart,EIVA,475,SUNY New Paltz,NECVA,W,3,1,A,Fairfield,CT,New Paltz,NY
4754001,2009,MVB,1,590,Sacred Heart,EIVA,564,Ramapo,NECVA,L,0,3,A,Fairfield,CT,Mahwah,NJ
4754003,2009,MVB,1,590,Sacred Heart,EIVA,8981,Endicott,NECVA,W,3,0,A,Fairfield,CT,Beverly,MA
4754370,2009,MVB,1,248,George Mason,EIVA,673,Springfield,EIVA,W,3,0,A,Fairfax,VA,Springfield,MA
4757836,2009,MVB,1,277,Hawaii,MPSF,99,Long Beach St.,MPSF,L,0,3,A,Honolulu,HI,Long Beach,CA
4757837,2009,MVB,1,277,Hawaii,MPSF,99,Long Beach St.,MPSF,L,1,3,A,Honolulu,HI,Long Beach,CA
4757842,2009,MVB,1,541,Pepperdine,MPSF,534,Pacific,MPSF,W,3,0,A,Malibu,CA,Stockton,CA
4757843,2009,MVB,1,541,Pepperdine,MPSF,674,Stanford,MPSF,L,1,3,A,Malibu,CA,Stanford,CA
4757848,2009,MVB,1,104,UC Santa Barbara,MPSF,109,UC Irvine,MPSF,L,2,3,A,Santa Barbara,CA,Irvine,CA
4757849,2009,MVB,1,110,UCLA,MPSF,354,Lewis,MIVA,L,2,3,A,Los Angeles,CA,Romeoville,IL
4757850,2009,MVB,1,110,UCLA,MPSF,371,Loyola Chicago,MIVA,W,3,2,A,Los Angeles,CA,Chicago,IL
4758404,2009,MVB,1,248,George Mason,EIVA,471,NJIT,EIVA,W,3,0,A,Fairfax,VA,Newark,NJ
4758411,2009,MVB,1,539,Penn St.,EIVA,371,Loyola Chicago,MIVA,L,2,3,A,University Park,PA,Chicago,IL
4758412,2009,MVB,1,539,Penn St.,EIVA,308,IPFW,MIVA,W,3,1,A,University Park,PA,Fort Wayne,IN
4758413,2009,MVB,1,554,Princeton,EIVA,471,NJIT,EIVA,W,3,0,A,Princeton,NJ,Newark,NJ
4758415,2009,MVB,1,590,Sacred Heart,EIVA,564,Ramapo,NECVA,W,3,0,A,Fairfield,CT,Mahwah,NJ
4758419,2009,MVB,1,600,Saint Francis (PA),EIVA,308,IPFW,MIVA,L,0,3,A,Loretto,PA,Fort Wayne,IN
4758420,2009,MVB,1,600,Saint Francis (PA),EIVA,371,Loyola Chicago,MIVA,L,2,3,A,Loretto,PA,Chicago,IL
4758421,2009,MVB,1,600,Saint Francis (PA),EIVA,354,Lewis,MIVA,L,0,3,A,Loretto,PA,Romeoville,IL
4759840,2009,MVB,1,47,Ball St.,MIVA,589,Rutgers-Newark,EIVA,W,3,1,A,Muncie,IN,Newark,NJ
4759841,2009,MVB,1,47,Ball St.,MIVA,248,George Mason,EIVA,W,3,2,A,Muncie,IN,Fairfax,VA
4759842,2009,MVB,1,308,Fort Wayne,MIVA,539,Penn St.,EIVA,L,0,3,A,Fort Wayne,IN,University Park,PA
4759843,2009,MVB,1,308,Fort Wayne,MIVA,600,Saint Francis (PA),EIVA,L,2,3,A,Fort Wayne,IN,Loretto,PA
4759846,2009,MVB,1,371,Loyola Chicago,MIVA,600,Saint Francis (PA),EIVA,W,3,1,A,Chicago,IL,Loretto,PA
4759847,2009,MVB,1,371,Loyola Chicago,MIVA,539,Penn St.,EIVA,L,0,3,A,Chicago,IL,University Park,PA
4759848,2009,MVB,1,518,Ohio St.,MIVA,248,George Mason,EIVA,L,1,3,A,Columbus,OH,Fairfax,VA
4760989,2009,MVB,1,47,Ball St.,MIVA,561,Quincy,MIVA,W,3,1,A,Muncie,IN,Quincy,IL
4761014,2009,MVB,1,371,Loyola Chicago,MIVA,109,UC Irvine,MPSF,L,0,3,A,Chicago,IL,Irvine,CA
4761016,2009,MVB,1,518,Ohio St.,MIVA,325,Juniata,EIVA,L,2,3,A,Columbus,OH,Huntingdon,PA
4766000,2009,MVB,1,77,BYU,MPSF,534,Pacific,MPSF,W,3,1,A,Provo,UT,Stockton,CA
4766001,2009,MVB,1,77,BYU,MPSF,534,Pacific,MPSF,W,3,0,A,Provo,UT,Stockton,CA
4766002,2009,MVB,1,101,CSUN,MPSF,541,Pepperdine,MPSF,W,3,2,A,Northridge,CA,Malibu,CA
4766003,2009,MVB,1,101,CSUN,MPSF,657,Southern California,MPSF,W,3,0,A,Northridge,CA,Los Angeles,CA
4766006,2009,MVB,1,99,Long Beach St.,MPSF,110,UCLA,MPSF,W,3,0,A,Long Beach,CA,Los Angeles,CA
4766007,2009,MVB,1,99,Long Beach St.,MPSF,109,UC Irvine,MPSF,L,1,3,A,Long Beach,CA,Irvine,CA
4766012,2009,MVB,1,674,Stanford,MPSF,277,Hawaii,MPSF,W,3,0,A,Stanford,CA,Honolulu,HI
4766013,2009,MVB,1,674,Stanford,MPSF,277,Hawaii,MPSF,W,3,0,A,Stanford,CA,Honolulu,HI
4766017,2009,MVB,1,104,UC Santa Barbara,MPSF,657,Southern California,MPSF,L,1,3,A,Santa Barbara,CA,Los Angeles,CA
4766018,2009,MVB,1,104,UC Santa Barbara,MPSF,541,Pepperdine,MPSF,L,0,3,A,Santa Barbara,CA,Malibu,CA
4766020,2009,MVB,1,110,UCLA,MPSF,112,UC San Diego,MPSF,L,0,3,A,Los Angeles,CA,La Jolla,CA
4768688,2009,MVB,1,275,Harvard,EIVA,539,Penn St.,EIVA,L,0,3,A,Boston,MA,University Park,PA
