ID,_Year,Sport Code,Division (Member Org Sport),Org Id,School,School Conference,Opponent,Opponent Name,Opp Conference,Result Field,Score For,Score Against,Loc Ind A,Sch City,Sch State,Opp City,Opp State
3976770,2007,WFH,1,392,Maryland,ACC,674,Stanford,NorPac,W,4,1,A,College Park,MD,Stanford,CA
4174180,2007,WFH,1,153,Colgate,Patriot,360,Lock Haven,NEC,L,1,9,A,Hamilton,NY,Lock Haven,PA
4174181,2007,WFH,1,153,Colgate,Patriot,600,Saint Francis (PA),NEC,W,5,2,A,Hamilton,NY,Loretto,PA
4174183,2007,WFH,1,285,Holy Cross,Patriot,275,Harvard,Ivy League,W,3,0,A,Worcester,MA,Boston,MA
4174185,2007,WFH,1,342,Lafayette,Patriot,539,Penn St.,Big Ten,L,0,4,A,Easton,PA,University Park,PA
4174193,2007,WFH,1,47,Ball St.,MAC,418,Michigan,Big Ten,L,1,6,A,Muncie,IN,Ann Arbor,MI
4174195,2007,WFH,1,129,Central Mich.,MAC,306,Indiana,Big Ten,L,1,2,A,Mount Pleasant,MI,Bloomington,IN
4174199,2007,WFH,1,414,Miami (OH),MAC,518,Ohio St.,Big Ten,L,0,6,A,Oxford,OH,Columbus,OH
4174202,2007,WFH,1,669,Missouri St.,MAC,579,Robert Morris,NEC,W,3,2,A,Springfield,MO,Moon Township,PA
4174203,2007,WFH,1,519,Ohio,MAC,173,Davidson,NorPac,W,1,0,A,Athens,OH,Davidson,NC
4174268,2007,WFH,1,27,Appalachian St.,NorPac,193,Duke,ACC,L,0,7,A,Boone,NC,Durham,NC
4174301,2007,WFH,1,191,Drexel,CAA,83,Bucknell,Patriot,W,2,1,A,Philadelphia,PA,Lewisburg,PA
4174303,2007,WFH,1,317,James Madison,CAA,575,Richmond,Atlantic 10,L,1,2,A,Harrisonburg,VA,Richmond,VA
4174304,2007,WFH,1,317,James Madison,CAA,392,Maryland,ACC,L,2,4,A,Harrisonburg,VA,College Park,MD
4174306,2007,WFH,1,523,Old Dominion,CAA,457,North Carolina,ACC,W,3,1,A,Norfolk,VA,Chapel Hill,NC
4174307,2007,WFH,1,523,Old Dominion,CAA,193,Duke,ACC,W,4,3,A,Norfolk,VA,Durham,NC
4174308,2007,WFH,1,740,VCU,CAA,746,Virginia,ACC,L,1,3,A,Richmond,VA,Charlottesville,VA
4174309,2007,WFH,1,740,VCU,CAA,363,Longwood,NorPac,L,2,3,A,Richmond,VA,Farmville,VA
4174477,2007,WFH,1,107,California,NorPac,674,Stanford,NorPac,W,3,2,A,Berkeley,CA,Stanford,CA
4174478,2007,WFH,1,674,Stanford,NorPac,534,Pacific,NorPac,W,2,1,A,Stanford,CA,Stockton,CA
4174524,2007,WFH,1,563,Radford,NorPac,317,James Madison,CAA,L,0,5,A,Radford,VA,Harrisonburg,VA
4174633,2007,WFH,1,164,UConn,AAC,367,Louisville,AAC,W,3,2,A,Storrs,CT,Louisville,KY
4175801,2007,WFH,1,173,Davidson,NorPac,27,Appalachian St.,NorPac,W,4,0,A,Davidson,NC,Boone,NC
4176484,2007,WFH,1,67,Boston College,ACC,193,Duke,ACC,W,2,1,A,Chestnut Hill,MA,Durham,NC
4176488,2007,WFH,1,392,Maryland,ACC,746,Virginia,ACC,W,5,1,A,College Park,MD,Charlottesville,VA
4176493,2007,WFH,1,746,Virginia,ACC,575,Richmond,Atlantic 10,W,5,3,A,Charlottesville,VA,Richmond,VA
4176496,2007,WFH,1,749,Wake Forest,ACC,457,North Carolina,ACC,W,4,3,A,Winston-Salem,NC,Chapel Hill,NC
4177122,2007,WFH,1,173,Davidson,NorPac,786,William & Mary,CAA,L,0,4,A,Davidson,NC,Williamsburg,VA
4177124,2007,WFH,1,173,Davidson,NorPac,457,North Carolina,ACC,L,0,2,A,Davidson,NC,Chapel Hill,NC
4177126,2007,WFH,1,173,Davidson,NorPac,738,Vermont,America East,L,0,3,A,Davidson,NC,Burlington,VT
4177351,2007,WFH,1,220,Fairfield,NEC,606,Saint Joseph's,Atlantic 10,L,0,6,A,Fairfield,CT,Philadelphia,PA
4177352,2007,WFH,1,220,Fairfield,NEC,690,Temple,Atlantic 10,L,0,3,A,Fairfield,CT,Philadelphia,PA
4177354,2007,WFH,1,439,Monmouth,NEC,340,La Salle,Atlantic 10,W,4,3,A,West Long Branch,NJ,Philadelphia,PA
4177359,2007,WFH,1,590,Sacred Heart,NEC,469,New Hampshire,America East,W,6,5,A,Fairfield,CT,Durham,NH
4177360,2007,WFH,1,639,Siena,NEC,285,Holy Cross,Patriot,L,2,10,A,Loudonville,NY,Worcester,MA
