"","L","T","W","win_perc"
"A&M-Corpus Christi",8,4,22,0.294117647058824
"Abilene Christian",18,3,11,0.609375
"Air Force",33,9,64,0.35377358490566
"Akron",43,12,46,0.485148514851485
"Ala.-Huntsville",1,0,1,0.5
"Alabama",61,8,48,0.555555555555556
"Alabama A&M",28,3,54,0.347058823529412
"Alabama St.",36,1,41,0.467948717948718
"Albany (NY)",46,3,45,0.50531914893617
"Alcorn",6,2,29,0.189189189189189
"Alcorn St.",6,2,16,0.291666666666667
"American",41,13,51,0.452380952380952
"Appalachian St.",41,21,37,0.52020202020202
"Arizona",50,11,58,0.466386554621849
"Arizona St.",57,12,44,0.557522123893805
"Ark.-Pine Bluff",31,8,40,0.443037974683544
"Arkansas",60,7,47,0.557017543859649
"Arkansas St.",45,7,56,0.449074074074074
"Armstrong St.",1,0,0,1
"Army",44,12,28,0.595238095238095
"Army West Point",8,4,14,0.384615384615385
"Auburn",90,9,28,0.744094488188976
"AUM",0,0,1,0
"Austin",2,0,2,0.5
"Austin Peay",53,13,32,0.607142857142857
"Bakersfield",4,1,9,0.321428571428571
"Ball St.",69,16,21,0.726415094339623
"Baylor",67,12,27,0.688679245283019
"Bellarmine",1,1,0,0.75
"Belmont",37,14,35,0.511627906976744
"Binghamton",37,16,39,0.489130434782609
"Birmingham-So.",5,0,2,0.714285714285714
"Boise St.",51,18,30,0.606060606060606
"Boston College",95,13,28,0.746323529411765
"Boston U.",96,7,18,0.822314049586777
"Bowling Green",48,8,58,0.456140350877193
"Brown",51,15,32,0.596938775510204
"Bryant",34,8,35,0.493506493506494
"Bucknell",63,6,32,0.653465346534653
"Buffalo",52,15,37,0.572115384615385
"Butler",67,11,35,0.641592920353982
"BYU",102,13,16,0.82824427480916
"BYU-Hawaii",0,0,1,0
"Cal Poly",51,9,38,0.566326530612245
"Cal St. Fullerton",63,16,38,0.606837606837607
"Cal St. Northridge",41,6,23,0.628571428571429
"California",82,13,28,0.719512195121951
"Campbell",47,6,36,0.561797752808989
"Canisius",51,9,33,0.596774193548387
"Centenary (LA)",11,3,22,0.347222222222222
"Central Ark.",45,9,40,0.526595744680851
"Central Conn. St.",54,11,28,0.639784946236559
"Central Mich.",71,10,21,0.745098039215686
"Centre",2,0,0,1
"Charleston So.",53,12,36,0.584158415841584
"Charlotte",78,8,28,0.719298245614035
"Chattanooga",23,13,61,0.304123711340206
"Chicago St.",0,1,28,0.0172413793103448
"Christian Bros.",1,0,0,1
"Cincinnati",56,16,35,0.598130841121495
"Citadel",23,3,51,0.318181818181818
"Clayton St.",2,0,0,1
"Clemson",60,12,42,0.578947368421053
"Cleveland St.",40,9,47,0.463541666666667
"Coastal Caro.",54,5,21,0.70625
"Col. of Charleston",57,9,43,0.564220183486238
"Colgate",61,7,36,0.620192307692308
"Colorado",78,12,36,0.666666666666667
"Colorado Col.",81,13,29,0.711382113821138
"Colorado St.",9,6,26,0.292682926829268
"Columbia",54,13,23,0.672222222222222
"Columbus St.",1,0,0,1
"Concordia (TX)",1,0,0,1
"Connecticut",51,11,21,0.680722891566265
"Converse",1,0,0,1
"Cornell",26,6,56,0.329545454545455
"Creighton",59,13,40,0.584821428571429
"CSU Bakersfield",9,1,17,0.351851851851852
"CSUN",23,9,8,0.6875
"Dallas",3,0,0,1
"Dallas Baptist",1,0,0,1
"Dartmouth",55,9,21,0.7
"Davidson",53,14,47,0.526315789473684
"Dayton",78,9,22,0.756880733944954
"Delaware",48,11,37,0.557291666666667
"Delaware St.",12,5,26,0.337209302325581
"Delta St.",2,0,3,0.4
"Denver",75,6,18,0.787878787878788
"DePaul",57,12,41,0.572727272727273
"DePauw",0,0,3,0
"Detroit",44,9,22,0.646666666666667
"Detroit Mercy",1,1,6,0.1875
"Dixie St.",1,0,0,1
"Drake",48,12,37,0.556701030927835
"Drexel",54,14,34,0.598039215686274
"Duke",92,20,21,0.766917293233083
"Duquesne",51,9,43,0.538834951456311
"East Carolina",60,12,35,0.616822429906542
"East Tenn. St.",39,5,20,0.6484375
"East Tex. Baptist",1,0,0,1
"East. Mennonite",1,0,0,1
"Eastern Ill.",45,13,45,0.5
"Eastern Ky.",43,12,38,0.526881720430108
"Eastern Mich.",56,20,33,0.605504587155963
"Eastern Wash.",40,7,37,0.517857142857143
"Elon",46,19,37,0.544117647058823
"Embry-Riddle (FL)",0,0,1,0
