School,L,T,W,win_perc
A&M-Corpus Christi,8,4,22,0.294117647
Abilene Christian,18,3,11,0.609375
Air Force,33,9,64,0.353773585
Akron,43,12,46,0.485148515
Ala.-Huntsville,1,0,1,0.5
Alabama,61,8,48,0.555555556
Alabama A&M,28,3,54,0.347058824
Alabama St.,36,1,41,0.467948718
Albany (NY),46,3,45,0.505319149
Alcorn,6,2,29,0.189189189
Alcorn St.,6,2,16,0.291666667
American,41,13,51,0.452380952
Appalachian St.,41,21,37,0.52020202
Arizona,50,11,58,0.466386555
Arizona St.,57,12,44,0.557522124
Ark.-Pine Bluff,31,8,40,0.443037975
Arkansas,60,7,47,0.557017544
Arkansas St.,45,7,56,0.449074074
Armstrong St.,1,0,0,1
Army,44,12,28,0.595238095
Army West Point,8,4,14,0.384615385
Auburn,90,9,28,0.744094488
AUM,0,0,1,0
Austin,2,0,2,0.5
Austin Peay,53,13,32,0.607142857
Bakersfield,4,1,9,0.321428571
Ball St.,69,16,21,0.726415094
Baylor,67,12,27,0.688679245
Bellarmine,1,1,0,0.75
Belmont,37,14,35,0.511627907
Binghamton,37,16,39,0.489130435
Birmingham-So.,5,0,2,0.714285714
Boise St.,51,18,30,0.606060606
Boston College,95,13,28,0.746323529
Boston U.,96,7,18,0.82231405
Bowling Green,48,8,58,0.456140351
Brown,51,15,32,0.596938776
Bryant,34,8,35,0.493506494
Bucknell,63,6,32,0.653465347
Buffalo,52,15,37,0.572115385
Butler,67,11,35,0.64159292
BYU,102,13,16,0.828244275
BYU-Hawaii,0,0,1,0
Cal Poly,51,9,38,0.566326531
Cal St. Fullerton,63,16,38,0.606837607
Cal St. Northridge,41,6,23,0.628571429
California,82,13,28,0.719512195
Campbell,47,6,36,0.561797753
Canisius,51,9,33,0.596774194
Centenary (LA),11,3,22,0.347222222
Central Ark.,45,9,40,0.526595745
Central Conn. St.,54,11,28,0.639784946
Central Mich.,71,10,21,0.745098039
Centre,2,0,0,1
Charleston So.,53,12,36,0.584158416
Charlotte,78,8,28,0.719298246
Chattanooga,23,13,61,0.304123711
Chicago St.,0,1,28,0.017241379
Christian Bros.,1,0,0,1
Cincinnati,56,16,35,0.598130841
Citadel,23,3,51,0.318181818
Clayton St.,2,0,0,1
Clemson,60,12,42,0.578947368
Cleveland St.,40,9,47,0.463541667
Coastal Caro.,54,5,21,0.70625
Col. of Charleston,57,9,43,0.564220183
Colgate,61,7,36,0.620192308
Colorado,78,12,36,0.666666667
